UF;SECAO;ZONA;COD_MUNIC_TSE;NM_MUNIC_TSE;COD_MUNIC_IBGE;NM_MUNIC_IBGE;CAPITAL;COD_MUNIC_ECT;COD_BAIRRO_TSE;NM_BAIRRO;COD_BAIRRO_ECT;COD_LOCALVOTACAO_TSE;ENDERECO_LOCALVOTACAO;NUM_CEP;NM_LOCALVOTACAO;SITUACAO
SP;2;422;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM PICOLO;26021;36437;AVENIDA GUACA, 1382;2435001;EE ALM VISCONDE DE INHAUMA;Ativo
SP;3;1;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;BELA VISTA;25243;38094;AV PAULISTA, 900;1310100;COLEGIO OBJETIVO;Ativo
SP;3;2;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;AGUA BRANCA;25219;38067;AV. FRANCISCO MATARAZZO, 913;5001000;COLÉGIO DAS AMÉRICAS;Ativo
SP;3;3;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CENTRO;25279;38030;LARGO DE SAO BENTO, S/N;1029010;COLEGIO DE SAO BENTO;Ativo
SP;3;4;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;MOOCA;26276;38031;R DA MOOCA, 363;3103000;EE PROF ANTONIO FIRMINO DE PROENCA;Ativo
SP;3;5;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM AMERICA;25501;38006;R. ESTADOS UNIDOS, 1339;1427001;CLUBE ATLÉTICO PAULISTANO;Ativo
SP;3;6;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA MARIANA;26858;37973;R DONA JULIA, 37;4117020;EE MAL FLORIANO;Ativo
SP;3;20;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CONJUNTO RESIDENCIAL FAZZIONI;26742;34763;RUA JOÃO ANDRE LEYSE, 100;5884100;EE YOSHIO NINOMIYA;Ativo
SP;3;246;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SANTO AMARO;26491;36574;AVENIDA MARIO LOPES LEAO, 120;4754010;EE ALBERTO CONTE;Ativo
SP;3;247;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE SONIA;26426;0105B028001924;R JULIÃO PEREIRA MACHADO,60-A;8020020;EE ENGENHEIRO HUGO TAKAHASHI;Ativo
