ENDERECO_L;COD_MUNIC_;NUM_ZONA;NUM_SECAO;COD_LOCALV;NM_BAIRRO;NR_LOCAL_V;NM_LOCALVO;COD_MUNI_1;NM_MUNIC_I;NUM_CEP;lon;lat;CD_GEOCODB;NM_BAIRR_1
RUA CAMILO PRATES   , 238;41238;27;44;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;41;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;42;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;43;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;48;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;49;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;46;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;47;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;51;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;45;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMILO PRATES   , 238;41238;27;50;13571;UNIAO;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;3106200;BELO HORIZONTE;31170490;-43,9185717;-19,8824524;3,1062E+11;Uniao
RUA CAMPANARIO, 495;41238;26;211;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPANARIO, 495;41238;26;214;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPANARIO, 495;41238;26;215;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPANARIO, 495;41238;26;212;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPANARIO, 495;41238;26;213;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPANARIO, 495;41238;26;218;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPANARIO, 495;41238;26;216;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPANARIO, 495;41238;26;217;13530;SANTA INES;1341;E. E. MARECHAL DEODORO DA FONSECA;3106200;BELO HORIZONTE;31080180;-43,9076807;-19,8869381;3,1062E+11;Santa Ines
RUA CAMPINA VERDE, 271;41238;332;108;13251;SALGADO FILHO;1139;ESCOLA ESTADUAL CANDIDO PORTINARI;3106200;BELO HORIZONTE;30550340;-43,9859535;-19,9436164;3,1062E+11;Salgado Filho
RUA CAMPINA VERDE, 271;41238;332;109;13251;SALGADO FILHO;1139;ESCOLA ESTADUAL CANDIDO PORTINARI;3106200;BELO HORIZONTE;30550340;-43,9859535;-19,9436164;3,1062E+11;Salgado Filho
